Gender,City,Education_Level,Membership_Type,Payment_Method,Age,Annual_Income,Spending_Score
Male,Hyderabad,Master,Silver,Net Banking,44,1358343,52
Female,Pune,Master,Gold,Debit Card,40,633961,94
Male,Chennai,Master,Gold,UPI,41,741529,51
Female,Chennai,Master,Silver,Debit Card,26,777263,71
Female,Bangalore,Bachelor,Gold,Net Banking,52,354226,96
Female,Delhi,High School,Silver,Cash,37,1162454,48
Female,Delhi,High School,Gold,Net Banking,54,691818,19
Female,Pune,PhD,Platinum,Credit Card,59,256396,6
Female,Pune,Bachelor,Basic,Credit Card,34,318920,84
Female,Chennai,Master,Basic,UPI,64,606547,27
Female,Mumbai,Bachelor,Platinum,Net Banking,48,394999,53
Female,Bangalore,High School,Platinum,UPI,25,263014,48
Female,Bangalore,High School,Silver,UPI,32,794699,7
Female,Chennai,Bachelor,Silver,Credit Card,48,385550,59
Male,Hyderabad,Bachelor,Silver,UPI,47,1435382,69
Male,Mumbai,High School,Gold,Credit Card,63,1233994,11
Female,Chennai,Bachelor,Silver,Cash,37,538585,15
Female,Mumbai,High School,Platinum,Net Banking,56,1294697,64
Female,Mumbai,Bachelor,Basic,UPI,29,1244890,3
Female,Mumbai,High School,Gold,Credit Card,34,522341,69
Female,Chennai,Master,Silver,Debit Card,59,1333153,23
Female,Bangalore,Bachelor,Gold,UPI,47,556778,53
Female,Bangalore,Bachelor,Gold,Cash,46,1497682,37
Female,Mumbai,High School,Silver,Cash,36,1235141,9
Male,Hyderabad,High School,Gold,Debit Card,63,860197,15
Female,Delhi,Bachelor,Basic,Credit Card,28,705200,3
Male,Chennai,Bachelor,Platinum,UPI,51,676379,93
Female,Delhi,Bachelor,Platinum,Credit Card,24,725754,70
Female,Hyderabad,High School,Basic,Cash,61,1236149,17
Male,Chennai,Bachelor,Gold,Credit Card,51,546030,26
Female,Mumbai,Master,Silver,Cash,37,528055,21
Male,Bangalore,Master,Gold,Credit Card,55,288422,72
Female,Delhi,High School,Basic,Debit Card,41,1215691,21
Female,Pune,Bachelor,Gold,Net Banking,27,535513,11
Male,Pune,High School,Platinum,Debit Card,49,1158378,38
Female,Hyderabad,High School,Gold,Debit Card,32,932722,72
Male,Mumbai,PhD,Basic,Net Banking,54,1086388,88
Female,Delhi,High School,Platinum,Net Banking,37,1400847,35
Male,Mumbai,Bachelor,Gold,UPI,20,1234104,14
Male,Delhi,Bachelor,Gold,UPI,54,553548,14
Female,Hyderabad,Master,Platinum,Debit Card,57,1044156,10
Female,Hyderabad,Bachelor,Silver,Debit Card,25,1416053,12
Male,Pune,High School,Platinum,Cash,57,1477880,38
Female,Mumbai,Bachelor,Silver,Cash,61,1226163,34
Female,Chennai,Bachelor,Basic,UPI,40,1015363,41
Female,Pune,High School,Basic,UPI,57,552621,10
Male,Mumbai,Bachelor,Platinum,Cash,28,672697,17
Male,Pune,High School,Platinum,Cash,63,931658,17
Male,Chennai,High School,Basic,Credit Card,25,885493,67
Male,Bangalore,Bachelor,Silver,Credit Card,46,967976,62
Male,Bangalore,High School,Basic,Cash,47,678705,95
Male,Bangalore,Bachelor,Platinum,Credit Card,27,502619,1
Male,Bangalore,Bachelor,Basic,Net Banking,56,806954,12
Male,Delhi,Master,Platinum,UPI,45,558766,4
Male,Bangalore,High School,Platinum,UPI,53,307573,42
Female,Chennai,High School,Basic,Cash,30,469152,13
Male,Hyderabad,High School,Silver,Debit Card,49,510435,98
Female,Hyderabad,Bachelor,Gold,Cash,53,358477,85
Female,Delhi,Master,Basic,Credit Card,54,1496717,86
Female,Bangalore,High School,Gold,Debit Card,43,498530,4
Male,Bangalore,PhD,Basic,Credit Card,39,1400475,82
Male,Bangalore,High School,Gold,Net Banking,21,1019472,69
Male,Pune,Bachelor,Silver,Credit Card,48,540687,19
Male,Mumbai,Master,Silver,Net Banking,35,1215197,2
Female,Pune,Master,Basic,Net Banking,55,759603,12
Male,Mumbai,Master,Platinum,Credit Card,41,614380,81
Male,Bangalore,Master,Gold,Credit Card,40,1380594,74
Male,Bangalore,Bachelor,Platinum,Net Banking,39,1001125,98
Male,Pune,Master,Platinum,Debit Card,19,489385,6
Male,Pune,High School,Platinum,Net Banking,48,1101626,8
Female,Mumbai,Master,Silver,UPI,28,295790,51
Male,Hyderabad,Bachelor,Basic,Net Banking,45,1133044,11
Female,Mumbai,Master,Basic,Debit Card,63,796543,63
Male,Pune,Bachelor,Silver,UPI,49,1420851,57
Female,Chennai,Bachelor,Silver,Cash,22,1259926,12
Male,Pune,Bachelor,Basic,Cash,55,518953,73
Male,Chennai,Master,Platinum,Debit Card,27,301894,2
Female,Delhi,High School,Gold,Net Banking,57,636048,8
Female,Pune,High School,Gold,Credit Card,63,479720,11
Female,Delhi,High School,Gold,Debit Card,41,1331960,53
Male,Hyderabad,High School,Platinum,UPI,52,1248966,100
Female,Mumbai,Master,Basic,UPI,61,1031868,10
Male,Chennai,High School,Silver,Cash,40,606245,85
Male,Mumbai,PhD,Basic,UPI,34,222490,84
Female,Delhi,Bachelor,Platinum,Debit Card,18,1032307,8
Female,Chennai,High School,Silver,UPI,48,805108,36
Male,Mumbai,Master,Platinum,Debit Card,48,471265,93
Male,Pune,Bachelor,Gold,Credit Card,59,201539,76
Female,Bangalore,Bachelor,Gold,Cash,59,512579,14
Female,Delhi,Bachelor,Platinum,UPI,51,715584,54
Female,Mumbai,Master,Silver,Debit Card,26,263965,85
Male,Delhi,High School,Silver,Net Banking,39,1346375,86
Male,Delhi,PhD,Basic,Cash,30,1342524,21
Male,Chennai,PhD,Gold,Credit Card,42,1391890,50
Male,Chennai,Bachelor,Basic,Debit Card,35,448099,94
Male,Bangalore,High School,Basic,Credit Card,29,1230065,39
Male,Pune,Bachelor,Platinum,Credit Card,57,995379,20
Female,Delhi,High School,Platinum,UPI,34,967610,88
Male,Mumbai,High School,Basic,UPI,32,926826,87
Male,Hyderabad,High School,Gold,Debit Card,59,1106395,7
Male,Delhi,Bachelor,Platinum,Net Banking,32,1260194,9
Female,Delhi,Master,Basic,Debit Card,32,536430,1
Male,Bangalore,Master,Basic,Net Banking,56,862714,26
Male,Pune,Master,Basic,Credit Card,30,810724,38
Female,Hyderabad,Bachelor,Basic,Cash,34,410448,38
Male,Chennai,Bachelor,Basic,Debit Card,49,1170278,61
Male,Chennai,Bachelor,Basic,Debit Card,26,695919,44
Male,Mumbai,PhD,Platinum,Net Banking,57,1384685,86
Male,Hyderabad,High School,Gold,Credit Card,37,1277209,44
Male,Chennai,Master,Basic,Credit Card,43,1010927,74
Female,Mumbai,Bachelor,Silver,Net Banking,44,1050982,62
Female,Pune,Bachelor,Platinum,Credit Card,38,412456,6
Female,Mumbai,Master,Platinum,UPI,35,575325,17
Male,Chennai,Bachelor,Basic,Cash,30,666589,51
Male,Bangalore,Master,Platinum,Debit Card,33,496213,38
Male,Bangalore,PhD,Basic,Cash,26,1387018,24
Female,Bangalore,Bachelor,Gold,Debit Card,29,1103275,51
Male,Chennai,High School,Gold,UPI,61,1320523,10
Male,Bangalore,Bachelor,Platinum,Credit Card,55,370205,72
Female,Hyderabad,PhD,Platinum,Net Banking,36,1344337,21
Male,Pune,High School,Silver,UPI,24,1118196,70
Female,Mumbai,Bachelor,Platinum,Cash,52,1353276,85
Female,Mumbai,Bachelor,Silver,Net Banking,35,773881,57
Female,Chennai,Master,Gold,Credit Card,33,1218454,39
Male,Bangalore,High School,Gold,UPI,56,205209,88
Male,Bangalore,Master,Basic,Net Banking,21,599749,33
Male,Delhi,PhD,Gold,UPI,42,1258503,59
Male,Pune,High School,Silver,UPI,49,841621,18
Male,Hyderabad,High School,Platinum,Credit Card,57,1404242,56
Male,Mumbai,PhD,Basic,Debit Card,30,930212,92
Male,Delhi,High School,Silver,Net Banking,62,1457361,57
Female,Delhi,Master,Platinum,Credit Card,34,538526,96
Male,Chennai,Bachelor,Basic,UPI,54,339005,76
Female,Mumbai,High School,Gold,Credit Card,23,1229661,48
Male,Chennai,Master,Silver,Debit Card,36,396521,42
Male,Hyderabad,Bachelor,Platinum,Net Banking,30,1123593,27
Male,Delhi,Bachelor,Basic,Debit Card,43,649764,74
Female,Delhi,Bachelor,Basic,Cash,31,1405771,52
Female,Pune,Bachelor,Gold,Net Banking,48,1298589,42
Female,Hyderabad,High School,Platinum,Debit Card,21,601562,32
Female,Delhi,Bachelor,Gold,UPI,56,416486,26
Male,Hyderabad,PhD,Gold,Net Banking,25,626888,25
Female,Mumbai,High School,Platinum,Net Banking,42,1035988,75
Male,Bangalore,Bachelor,Platinum,Credit Card,30,1110155,23
Male,Delhi,Bachelor,Platinum,UPI,49,750428,98
Female,Pune,Master,Silver,Cash,55,463328,57
Female,Mumbai,High School,Platinum,Debit Card,55,311361,52
Female,Hyderabad,PhD,Basic,Credit Card,45,992038,87
Female,Chennai,Bachelor,Gold,Debit Card,47,597172,93
Female,Mumbai,High School,Silver,Cash,20,1265131,31
Female,Delhi,High School,Platinum,Cash,45,814673,64
Female,Hyderabad,High School,Silver,Net Banking,20,455658,71
Female,Bangalore,Bachelor,Platinum,Cash,62,954085,33
Male,Mumbai,Bachelor,Silver,Debit Card,51,303844,85
Female,Delhi,Master,Gold,UPI,33,1339897,2
Female,Pune,Bachelor,Gold,UPI,39,1035488,18
Male,Chennai,High School,Basic,Net Banking,49,298234,47
Female,Hyderabad,Bachelor,Basic,Debit Card,55,674718,33
Male,Mumbai,Master,Platinum,Debit Card,25,951993,98
Male,Mumbai,High School,Gold,Cash,25,1198922,84
Female,Bangalore,High School,Silver,Debit Card,23,925571,35
Male,Bangalore,High School,Silver,Credit Card,31,1028282,51
Male,Pune,Master,Silver,Cash,49,671761,18
Male,Chennai,Bachelor,Basic,Credit Card,52,524464,88
Male,Pune,Bachelor,Silver,Net Banking,27,754081,72
Female,Delhi,Master,Basic,UPI,20,1221911,30
Male,Delhi,Master,Basic,Net Banking,29,1268203,44
Female,Pune,Bachelor,Platinum,UPI,48,677317,53
Male,Chennai,Master,Silver,Net Banking,46,1471209,10
Male,Pune,High School,Silver,Debit Card,22,1169752,87
Male,Chennai,High School,Gold,Credit Card,42,517942,52
Male,Chennai,High School,Platinum,UPI,58,537462,49
Female,Hyderabad,High School,Gold,Cash,48,550046,11
Female,Chennai,Bachelor,Platinum,Credit Card,38,621773,66
Male,Bangalore,PhD,Silver,Cash,37,533478,58
Male,Chennai,High School,Basic,Credit Card,56,668379,90
Female,Chennai,High School,Basic,Credit Card,39,568863,36
Male,Chennai,Bachelor,Basic,Net Banking,21,1371675,33
Male,Delhi,PhD,Basic,UPI,30,933362,47
Male,Bangalore,Bachelor,Basic,UPI,62,897974,13
Female,Bangalore,Bachelor,Gold,Credit Card,59,307449,40
Female,Pune,High School,Platinum,Debit Card,37,1351404,89
Female,Hyderabad,High School,Silver,Debit Card,30,1375189,68
Male,Chennai,PhD,Gold,Cash,34,272095,42
Male,Mumbai,PhD,Platinum,Cash,53,830212,19
Female,Hyderabad,High School,Basic,Net Banking,50,820740,82
Female,Hyderabad,PhD,Platinum,Credit Card,18,287593,94
Female,Bangalore,Bachelor,Platinum,Cash,32,891252,19
Female,Hyderabad,Master,Basic,Cash,30,1102473,58
Male,Chennai,Bachelor,Basic,Credit Card,34,326202,23
Female,Chennai,Bachelor,Basic,Net Banking,41,277606,54
Male,Delhi,Bachelor,Silver,Cash,25,1372345,80
Female,Chennai,Bachelor,Basic,Net Banking,44,318542,65
Male,Chennai,High School,Silver,UPI,62,775610,12
Female,Bangalore,High School,Basic,Net Banking,40,1406126,24
Female,Chennai,Bachelor,Silver,Debit Card,63,655433,34
Female,Delhi,Master,Platinum,Debit Card,25,824987,53
Female,Mumbai,High School,Gold,Net Banking,25,290140,8
Male,Bangalore,Bachelor,Platinum,Debit Card,43,1346204,18
Female,Mumbai,PhD,Platinum,UPI,64,1333634,57
Male,Bangalore,High School,Basic,Credit Card,30,681799,5
Male,Pune,Bachelor,Silver,Debit Card,56,1400118,26
Male,Hyderabad,Bachelor,Gold,Debit Card,54,242674,30
Male,Pune,Master,Basic,Net Banking,45,327572,54
Female,Chennai,High School,Basic,UPI,42,491975,13
Male,Mumbai,Bachelor,Basic,Credit Card,33,781462,83
Male,Chennai,Master,Platinum,Net Banking,19,631436,29
Male,Hyderabad,PhD,Silver,Net Banking,35,645935,3
Female,Bangalore,Bachelor,Silver,UPI,34,980296,90
Female,Hyderabad,Bachelor,Gold,Credit Card,47,1301627,58
Female,Delhi,Bachelor,Silver,UPI,56,1451661,76
Female,Hyderabad,Master,Silver,Credit Card,30,1314100,2
Male,Delhi,Bachelor,Basic,UPI,49,468614,75
Male,Hyderabad,High School,Basic,Net Banking,46,717733,28
Female,Delhi,PhD,Platinum,Net Banking,63,515617,82
Male,Mumbai,Bachelor,Basic,Cash,47,1137384,77
Male,Chennai,Bachelor,Basic,Debit Card,35,1293015,86
Male,Chennai,High School,Basic,UPI,30,476452,76
Female,Pune,Bachelor,Basic,Cash,60,291563,2
Female,Chennai,Bachelor,Platinum,Debit Card,38,951616,7
Male,Bangalore,Bachelor,Basic,UPI,47,930602,26
Female,Hyderabad,High School,Gold,Credit Card,38,959495,90
Female,Pune,Bachelor,Gold,Debit Card,34,1169655,88
Female,Bangalore,PhD,Gold,Net Banking,57,367896,76
Female,Bangalore,High School,Gold,Cash,36,821912,16
Female,Delhi,PhD,Basic,Debit Card,32,619515,23
Male,Chennai,Bachelor,Gold,Debit Card,26,1217497,40
Female,Mumbai,Master,Basic,Net Banking,27,230063,60
Male,Mumbai,Master,Platinum,UPI,61,1239272,73
Male,Pune,Bachelor,Gold,Credit Card,48,454371,32
Female,Mumbai,Master,Silver,Net Banking,40,1185976,15
Male,Hyderabad,Master,Gold,Credit Card,47,302166,13
Male,Mumbai,Bachelor,Gold,UPI,50,1263082,5
Male,Pune,Bachelor,Basic,Debit Card,26,1473989,75
Female,Mumbai,Bachelor,Gold,Credit Card,64,1197358,74
Female,Hyderabad,Master,Silver,Cash,18,1362180,52
Male,Delhi,Master,Basic,Cash,61,1274602,77
Female,Pune,Master,Basic,Net Banking,52,620888,41
Female,Delhi,Bachelor,Platinum,UPI,28,390285,53
Female,Delhi,Master,Platinum,Net Banking,51,1299547,50
Female,Delhi,High School,Gold,Net Banking,33,620497,15
Male,Bangalore,Bachelor,Platinum,Net Banking,26,313978,7
Male,Chennai,High School,Platinum,Cash,49,1407739,40
Female,Bangalore,Bachelor,Platinum,Cash,32,303864,28
Female,Chennai,Bachelor,Basic,Net Banking,29,1231259,32
Male,Delhi,Bachelor,Basic,Cash,50,1136114,99
Male,Pune,Bachelor,Basic,UPI,62,594295,15
Female,Chennai,Bachelor,Platinum,Net Banking,31,819674,100
Male,Hyderabad,Bachelor,Basic,Cash,25,648648,85
Female,Hyderabad,High School,Platinum,Credit Card,25,805151,70
Female,Mumbai,Bachelor,Basic,Net Banking,44,540435,65
Male,Chennai,High School,Basic,Net Banking,29,325659,4
Male,Pune,High School,Silver,UPI,18,1255811,11
Female,Bangalore,Bachelor,Gold,Debit Card,60,1311288,26
Female,Delhi,Bachelor,Platinum,Debit Card,57,1401121,61
Male,Mumbai,Bachelor,Silver,UPI,59,962178,37
Female,Hyderabad,Bachelor,Basic,UPI,28,325849,23
Male,Bangalore,Bachelor,Platinum,UPI,56,1224903,93
Female,Bangalore,Master,Basic,Debit Card,60,455493,85
Male,Delhi,Bachelor,Gold,UPI,48,804111,91
Male,Chennai,Bachelor,Silver,Cash,34,1352791,40
Male,Hyderabad,High School,Gold,Net Banking,50,232230,77
Female,Pune,Bachelor,Silver,Net Banking,49,546717,23
Female,Bangalore,Bachelor,Basic,Credit Card,46,947948,16
Male,Delhi,Bachelor,Gold,Credit Card,38,662092,94
Female,Pune,Bachelor,Gold,Net Banking,38,502788,61
Male,Chennai,Bachelor,Basic,Cash,57,1428312,68
Male,Hyderabad,Bachelor,Gold,Debit Card,40,1031635,80
Female,Chennai,Master,Platinum,Debit Card,23,847534,31
Female,Bangalore,Master,Silver,Cash,39,1333393,53
Male,Pune,Master,Silver,Debit Card,55,1487233,25
Female,Pune,PhD,Silver,UPI,54,1465609,44
Female,Pune,High School,Platinum,Net Banking,62,431414,12
Male,Bangalore,High School,Silver,Net Banking,25,456812,90
Male,Bangalore,High School,Basic,Cash,58,504958,97
Female,Chennai,Bachelor,Gold,Debit Card,52,370956,92
Male,Mumbai,Master,Platinum,Credit Card,28,1055754,9
Male,Chennai,High School,Silver,Credit Card,41,221650,12
Female,Hyderabad,PhD,Basic,Debit Card,38,1126694,69
Male,Delhi,High School,Gold,Credit Card,19,1419097,54
Male,Pune,PhD,Gold,Cash,57,1419309,54
Female,Mumbai,Bachelor,Platinum,Cash,36,1016141,28
Female,Delhi,High School,Platinum,Debit Card,56,442037,56
Male,Mumbai,Bachelor,Platinum,Credit Card,45,1329004,99
Male,Chennai,High School,Basic,Cash,34,406251,69
Female,Bangalore,High School,Basic,Cash,23,734231,98
Female,Pune,Bachelor,Platinum,UPI,36,221042,98
Female,Chennai,Master,Silver,UPI,55,1030326,77
Female,Delhi,Bachelor,Gold,Cash,45,1178582,58
Male,Delhi,Bachelor,Gold,Debit Card,19,518903,78
Female,Delhi,Bachelor,Basic,Net Banking,55,1094801,75
Female,Delhi,Master,Gold,Net Banking,54,1014811,42
Male,Delhi,High School,Silver,Cash,21,582811,38
Female,Mumbai,Bachelor,Gold,Cash,39,701691,68
Male,Chennai,High School,Basic,Cash,43,1208314,53
Female,Pune,High School,Basic,Debit Card,60,414304,33
Female,Bangalore,Bachelor,Silver,UPI,53,596178,71
Female,Bangalore,High School,Silver,Cash,30,638963,56
Male,Chennai,Bachelor,Gold,Cash,49,1111612,72
Male,Chennai,Master,Gold,Credit Card,34,514493,51
Female,Bangalore,High School,Basic,Debit Card,58,401904,74
Male,Bangalore,Bachelor,Silver,Cash,53,911716,43
Male,Mumbai,High School,Silver,Credit Card,63,870105,15
Male,Hyderabad,PhD,Silver,Net Banking,36,205730,38
Male,Pune,Bachelor,Gold,Cash,52,1450786,15
Male,Delhi,Master,Silver,Cash,63,938471,5
Male,Hyderabad,Bachelor,Basic,Credit Card,57,1267599,93
Female,Chennai,High School,Basic,Debit Card,45,545430,83
Female,Bangalore,Bachelor,Gold,Cash,18,1028411,54
Male,Hyderabad,PhD,Platinum,Net Banking,59,608213,51
Female,Pune,Bachelor,Gold,Cash,35,900399,10
Female,Chennai,Master,Platinum,Net Banking,57,220923,12
Female,Delhi,Master,Silver,UPI,50,1047405,4
Female,Delhi,High School,Gold,UPI,29,394795,95
Male,Pune,High School,Basic,Net Banking,25,1028854,18
Female,Pune,Bachelor,Silver,Debit Card,41,433462,80
Female,Bangalore,Bachelor,Basic,Cash,33,251413,36
Male,Delhi,Master,Silver,Cash,21,1088916,25
Male,Chennai,PhD,Gold,UPI,55,753044,87
Female,Hyderabad,Bachelor,Platinum,Net Banking,61,610226,76
Female,Chennai,High School,Silver,Cash,44,1375615,98
Female,Mumbai,Master,Platinum,Cash,26,380074,36
Female,Mumbai,High School,Silver,Debit Card,64,856735,67
Female,Pune,Master,Basic,Credit Card,33,1008524,9
Female,Bangalore,Bachelor,Basic,UPI,29,331562,61
Male,Mumbai,Bachelor,Silver,UPI,48,1252305,53
Female,Delhi,High School,Platinum,Credit Card,41,842510,18
Female,Chennai,Bachelor,Gold,Cash,31,808148,43
Male,Chennai,Bachelor,Gold,Debit Card,62,458360,35
Male,Pune,Bachelor,Basic,Debit Card,42,559014,63
Male,Hyderabad,High School,Gold,UPI,51,1269974,98
Male,Pune,Master,Basic,Debit Card,20,496794,78
Female,Hyderabad,Master,Gold,Credit Card,41,828177,4
Female,Pune,High School,Silver,Cash,59,560306,93
Female,Pune,High School,Basic,Credit Card,26,1474535,41
Female,Pune,High School,Basic,Net Banking,43,827122,45
Female,Hyderabad,Bachelor,Silver,UPI,37,718490,50
Female,Hyderabad,Bachelor,Basic,Debit Card,57,753608,79
Male,Pune,Bachelor,Gold,Net Banking,27,663092,28
Female,Mumbai,High School,Gold,Debit Card,36,234924,42
Male,Bangalore,Bachelor,Basic,Cash,20,1461368,80
Male,Bangalore,Bachelor,Gold,Cash,41,895385,76
Female,Bangalore,Bachelor,Platinum,Cash,22,1250735,69
Male,Hyderabad,PhD,Basic,Debit Card,20,773228,98
Female,Hyderabad,High School,Silver,Net Banking,44,670192,1
Male,Mumbai,Bachelor,Platinum,Cash,33,640420,39
Female,Bangalore,Bachelor,Basic,Net Banking,32,862132,96
Male,Bangalore,Bachelor,Silver,Debit Card,52,965328,90
Female,Pune,Master,Gold,Net Banking,29,929115,17
Female,Hyderabad,Bachelor,Silver,Debit Card,58,354536,91
Female,Bangalore,PhD,Platinum,Debit Card,61,775425,88
Female,Chennai,High School,Gold,UPI,43,623448,35
Female,Mumbai,High School,Basic,Debit Card,64,1047929,46
Male,Chennai,Master,Gold,Debit Card,51,701233,42
Male,Chennai,Bachelor,Basic,Credit Card,40,824773,39
Male,Mumbai,High School,Basic,Cash,48,1489546,90
Female,Chennai,High School,Silver,UPI,37,1202021,49
Male,Bangalore,High School,Silver,UPI,29,200901,62
Female,Hyderabad,Master,Silver,UPI,40,287980,38
Female,Mumbai,High School,Platinum,Credit Card,21,989313,23
Male,Pune,Bachelor,Platinum,Debit Card,40,492007,22
Male,Chennai,High School,Silver,Cash,18,966722,4
Female,Mumbai,Bachelor,Platinum,Net Banking,42,598838,49
Male,Delhi,High School,Gold,Debit Card,19,715956,59
Female,Delhi,Bachelor,Gold,Credit Card,47,687063,73
Female,Hyderabad,High School,Platinum,Debit Card,20,926546,68
Female,Bangalore,Master,Platinum,Debit Card,38,1031633,71
Female,Hyderabad,High School,Gold,Credit Card,42,451839,87
Female,Hyderabad,Bachelor,Basic,UPI,37,1225264,2
Male,Hyderabad,Master,Gold,UPI,39,796860,49
Male,Hyderabad,Bachelor,Gold,Cash,38,1036642,88
Female,Pune,Bachelor,Platinum,Cash,50,587773,95
Female,Pune,Bachelor,Gold,UPI,55,222499,31
Male,Mumbai,Bachelor,Platinum,Net Banking,32,826840,40
Male,Delhi,Bachelor,Platinum,Debit Card,63,644844,48
Female,Hyderabad,PhD,Silver,Net Banking,32,686525,51
Male,Mumbai,Bachelor,Gold,Debit Card,63,1071905,43
Female,Delhi,Bachelor,Basic,UPI,42,343704,98
Male,Chennai,Master,Silver,Cash,38,885967,55
Female,Bangalore,Bachelor,Platinum,Cash,41,1340449,88
Male,Pune,High School,Platinum,Net Banking,22,265756,49
Female,Chennai,Bachelor,Basic,Cash,23,640210,90
Male,Delhi,PhD,Platinum,UPI,60,1443030,80
Male,Chennai,High School,Gold,Net Banking,61,1370473,57
Female,Bangalore,Bachelor,Silver,Debit Card,64,720082,77
Male,Delhi,High School,Platinum,Cash,40,499488,15
